date,duration(min)
2018-05-05 10:50:00 AM,83
2018-05-05 01:00:00 AM,345
2018-05-04 06:56:00 PM,286
2018-05-04 12:24:00 PM,52
2018-05-04 04:46:00 AM,105
2018-05-03 07:01:00 PM,510
2018-05-02 07:14:00 PM,639
2018-05-02 12:10:00 PM,70
2018-05-02 05:31:00 AM,95
2018-05-01 08:09:00 PM,442
2018-05-01 03:16:00 PM,53
2018-05-01 09:49:00 AM,99
2018-05-01 04:31:00 AM,110
2018-04-30 08:43:00 PM,398
2018-04-30 03:17:00 PM,56
2018-04-30 10:32:00 AM,57
2018-04-29 07:09:00 PM,670
2018-04-29 11:53:00 AM,100
2018-04-28 05:58:00 PM,802
2018-04-28 09:41:00 AM,120
2018-04-27 06:32:00 PM,672
2018-04-26 07:39:00 PM,618
2018-04-26 12:21:00 PM,99
2018-04-25 06:58:00 PM,672
2018-04-25 12:30:00 PM,40
2018-04-24 07:53:00 PM,582
2018-04-24 07:48:00 PM,4
2018-04-24 03:52:00 PM,51
2018-04-24 10:36:00 AM,73
2018-04-24 03:00:00 AM,240
2018-04-23 06:00:00 PM,405
2018-04-23 12:09:00 PM,27
2018-04-23 09:34:00 AM,152
2018-04-23 05:16:00 AM,45
2018-04-22 08:30:00 PM,510
2018-04-22 03:38:00 PM,50
2018-04-22 11:11:00 AM,1
2018-04-22 10:32:00 AM,37
2018-04-21 09:18:00 PM,551
2018-04-21 02:56:00 PM,151
2018-04-21 09:43:00 AM,68
2018-04-20 07:34:00 PM,645
2018-04-20 02:23:00 PM,38
2018-04-20 02:13:00 PM,8
2018-04-20 10:54:00 AM,11
2018-04-20 10:30:00 AM,23
2018-04-20 08:46:00 AM,96
2018-04-20 04:27:00 AM,114
2018-04-19 06:01:00 PM,618
2018-04-19 09:41:00 AM,54
2018-04-19 04:01:00 AM,134
2018-04-18 06:59:00 PM,451
2018-04-18 12:21:00 PM,39
2018-04-18 05:53:00 AM,72
2018-04-18 05:04:00 AM,39
2018-04-17 05:35:00 PM,601
2018-04-17 10:47:00 AM,75
2018-04-17 03:30:00 AM,190
2018-04-16 07:06:00 PM,445
2018-04-16 01:22:00 PM,111
2018-04-16 07:50:00 AM,90
2018-04-16 04:10:00 AM,48
2018-04-15 06:55:00 PM,545
2018-04-15 01:32:00 PM,68
2018-04-15 08:34:00 AM,42
2018-04-14 06:04:00 PM,606
2018-04-14 10:15:00 AM,117
2018-04-13 06:01:00 PM,685
2018-04-12 06:30:00 PM,675
2018-04-12 12:51:00 PM,39
2018-04-12 07:26:00 AM,55
2018-04-11 06:50:00 PM,565
2018-04-11 12:30:00 PM,90
2018-04-10 06:37:00 PM,640
2018-04-10 11:39:00 AM,130
2018-04-10 03:30:00 AM,212
2018-04-09 06:44:00 PM,407
2018-04-09 12:45:00 PM,75
2018-04-08 09:11:00 PM,510
2018-04-08 05:50:00 PM,152
2018-04-08 10:51:00 AM,71
2018-04-07 07:38:00 PM,639
2018-04-07 03:06:00 PM,65
2018-04-07 09:36:00 AM,75
2018-04-06 06:29:00 PM,644
2018-04-06 12:38:00 PM,43
2018-04-05 06:10:00 PM,687
2018-04-05 11:31:00 AM,69
2018-04-04 05:56:00 PM,673
2018-04-04 10:29:00 AM,56
2018-04-03 06:02:00 PM,711
2018-04-03 12:15:00 PM,21
2018-04-03 11:02:00 AM,71
2018-04-02 10:30:00 PM,521
2018-04-02 05:54:00 PM,246
2018-04-02 10:04:00 AM,85
2018-04-01 08:22:00 PM,564
2018-04-01 02:46:00 PM,91
2018-04-01 09:13:00 AM,88
2018-03-31 06:05:00 PM,671
2018-03-31 11:14:00 AM,82
2018-03-31 01:00:00 AM,318
2018-03-30 11:46:00 PM,30
2018-03-30 06:10:00 PM,315
2018-03-30 07:55:00 AM,79
2018-03-29 06:41:00 PM,593
2018-03-29 11:30:00 AM,103
2018-03-28 09:05:00 PM,528
2018-03-28 03:59:00 PM,84
2018-03-28 03:59:00 PM,84
2018-03-28 10:37:00 AM,78
2018-03-28 01:35:00 AM,342
2018-03-28 12:01:00 AM,30
2018-03-27 06:28:00 PM,303
2018-03-27 11:45:00 AM,65
2018-03-27 05:30:00 AM,65
2018-03-26 07:28:00 PM,573
2018-03-26 03:26:00 PM,63
2018-03-26 10:29:00 AM,61
2018-03-25 08:01:00 PM,614
2018-03-25 02:30:00 PM,85
2018-03-25 08:52:00 AM,93
2018-03-24 07:12:00 PM,593
2018-03-24 01:48:00 PM,77
2018-03-24 08:26:00 AM,104
2018-03-23 07:07:00 PM,628
2018-03-23 11:54:00 AM,100
2018-03-22 11:46:00 PM,354
2018-03-22 06:34:00 PM,297
2018-03-22 11:45:00 AM,50
2018-03-21 08:01:00 PM,584
2018-03-21 03:24:00 PM,64
2018-03-21 10:42:00 AM,65
2018-03-20 06:49:00 PM,672
2018-03-20 11:33:00 AM,72
2018-03-19 07:26:00 PM,664
2018-03-19 02:06:00 PM,71
2018-03-19 08:45:00 AM,75
2018-03-19 05:27:00 AM,8
2018-03-19 05:27:00 AM,12
2018-03-18 07:30:00 PM,590
2018-03-18 06:51:00 PM,16
2018-03-18 02:54:00 PM,20
2018-03-18 09:33:00 AM,97
2018-03-17 07:15:00 PM,645
2018-03-17 02:31:00 PM,66
2018-03-17 09:12:00 AM,108
2018-03-17 05:15:00 AM,69
2018-03-16 07:51:00 PM,505
2018-03-16 03:20:00 PM,75
2018-03-16 08:46:00 AM,165
2018-03-16 12:20:00 AM,348
2018-03-15 06:51:00 PM,304
2018-03-15 11:46:00 AM,70
2018-03-15 03:31:00 AM,114
2018-03-14 06:47:00 PM,492
2018-03-14 11:33:00 AM,97
2018-03-14 04:30:00 AM,123
2018-03-13 06:49:00 PM,497
2018-03-13 11:55:00 AM,70
2018-03-13 05:16:00 AM,51
2018-03-12 07:14:00 PM,586
2018-03-12 02:21:00 PM,72
2018-03-12 09:24:00 AM,83
2018-03-11 08:15:00 PM,620
2018-03-11 03:49:00 PM,68
2018-03-11 10:34:00 AM,81
2018-03-11 04:00:00 AM,169
2018-03-10 07:16:00 PM,464
2018-03-10 01:55:00 PM,80
2018-03-10 08:34:00 AM,91
2018-03-09 07:51:00 PM,589
2018-03-09 02:45:00 PM,57
2018-03-09 09:19:00 AM,41
2018-03-09 08:38:00 AM,38
2018-03-08 06:33:00 PM,636
2018-03-08 11:45:00 AM,65
2018-03-08 12:55:00 AM,348
2018-03-07 06:46:00 PM,344
2018-03-07 11:31:00 AM,81
2018-03-07 06:15:00 AM,45
2018-03-06 07:05:00 PM,610
2018-03-06 02:35:00 PM,46
2018-03-06 09:52:00 AM,88
2018-03-05 07:27:00 PM,689
2018-03-05 07:11:00 PM,2
2018-03-05 02:04:00 PM,70
2018-03-05 08:51:00 AM,101
2018-03-04 07:11:00 PM,643
2018-03-04 01:49:00 PM,73
2018-03-04 09:36:00 AM,45
2018-03-03 07:05:00 PM,667
2018-03-03 02:15:00 PM,76
2018-03-03 09:34:00 AM,85
2018-03-03 04:30:00 AM,135
